Település;Körzet;Év;Jogi_státusz;Nyaraló;Típus;Altípus;Panelprogram;Ingatlan_állapota;Építés_éve;Zárószint;Emelet;Tájolás;Kilátás;Lift;Lakáson_belüli_szintszám;Fűtés;Nettó_méret;Terasz_méret;Erkély_méret;Telek_méret;Telek_méret_mértékegysége;Szobaszám;Eladási_ár;Négyzetméterár
Győr;Marcalváros II.;2018;hasznalt;0;tarsashazi;panel;1;5;1980;4;2;DNY;udvari;0;1;tavegyedi;37;0;4;0;nm;1 + 0;15200000;410810.81
Kecskemét;Katonatelep;2018;hasznalt;0;csaladihaz;tegla;0;4;1983;;;DNY;;0;1;gaz_cirko;70;15;0;939;nm;1 + 2;17000000;242857.14
Debrecen;Kerekes-telep;2018;hasznalt;0;tarsashazi;tegla;0;4;1976;1;1;NY;utcai;0;1;gaz_cirko;56;0;4;0;nm;2 + 1;14500000;258928.57
Szekszárd;Szekszárd;2018;hasznalt;0;tarsashazi;tegla;0;4;2004;4;1;K;kertre_nezo;0;0;gaz_cirko;60;3;0;0;nm;2 + 1;18700000;311666.67
Nyíregyháza;Örökösföld;2018;hasznalt;0;tarsashazi;panel;0;4;1982;4;4;K;utcai;0;1;tavegyedi;54;0;2.30;0;nm;2 + 0;11420000;211481.48
Győr;Győrszabadhegy;2018;uj;0;tarsashazi;tegla;0;5;2017;4;1;DNY;utcai;1;0;gaz_cirko;81.85;0;13.83;0;nm;4 + 0;32800000;400733.05
Szombathely;Olad;2018;hasznalt;0;tarsashazi;tegla;0;5;2009;3;földszint;DK;udvari;0;0;gaz_cirko;67;7.51;0;0;nm;3 + 0;21600000;322388.06
Kecskemét;Széchenyiváros;2018;hasznalt;0;tarsashazi;tegla;0;4;1970;5;3;DK;udvari;0;1;gaz_konvektor;55;0;4;0;nm;2 + 0;14200000;258181.82
Pécs;Belváros;2018;hasznalt;0;tarsashazi;tegla;0;4;1967;4;2;K;utcai;0;0;tav;53;0;1;0;nm;2 + 0;11700000;220754.72
Szekszárd;Szekszárd;2018;hasznalt;0;tarsashazi;tegla;;5;1990;;2;É;utcai;0;1;gaz_cirko;68;0;0;0;nm;2 + 2;22850000;336029.41
Békéscsaba;II. kerület;2018;hasznalt;0;tarsashazi;tegla;0;3;1962;4;3;D;utcai;0;0;gaz_konvektor;57;0;0;0;nm;1 + 1;9600000;168421.05
Szekszárd;Szekszárd;2018;hasznalt;0;tarsashazi;csusztatott_zsalus;0;2;1971;10;3;D;utcai;1;1;tavegyedi;40;0;0;0;nm;1 + 0;8000000;200000.00
Kecskemét;Hunyadiváros;2018;hasznalt;0;tarsashazi;tegla;0;5;1970;4;3;;utcai;0;1;gaz_cirko;52;4;0;0;nm;2 + 0;17200000;330769.23
Székesfehérvár;Tóvárosi Lakónegyed;2018;hasznalt;0;tarsashazi;panel;1;2;1972;9;9;K;utcai;1;0;tavegyedi;53;0;0;0;nm;2 + 0;12600000;237735.85
Debrecen;Belváros;2018;hasznalt;0;tanya;tegla;0;5;1995;;;ÉNY;;0;1;vegyes_kazan;105;12;0;1920;nm;1 + 2;11400000;108571.43
Miskolc;Avas III.;2018;hasznalt;0;tarsashazi;panel;1;4;1970;10;3;DK;utcai;1;1;tavegyedi;55;0;3;0;nm;1 + 2;8200000;149090.91
Sopron;Belváros-külső;2018;hasznalt;0;tarsashazi;tegla;0;5;1970;3;3;DK;utcai;0;1;tavegyedi;67;0;3.25;0;nm;3 + 0;26000000;388059.70
