Település;Körzet;Év;Jogi_státusz;Nyaraló;Típus;Altípus;Panelprogram;Ingatlan_állapota;Építés_éve;Zárószint;Emelet;Tájolás;Kilátás;Lift;Lakáson_belüli_szintszám;Fűtés;Nettó_méret;Terasz_méret;Erkély_méret;Telek_méret;Telek_méret_mértékegysége;Szobaszám;Kiadási_ár;Négyzetméterár
Szeged;Belváros;2020;hasznalt;0;tarsashazi;tegla;0;4;1990;4;3;K;utcai;0;1;gaz_cirko;68;0;3;;;3 + 0;80000;1176.00
Győr;Győr;2020;hasznalt;0;csaladihaz;tegla;0;4;1990;;;K;;0;1;gaz_cirko;300;30;0;2100;nm;10 + 0;800000;2667.00
Zalaegerszeg;Páterdomb;2020;hasznalt;0;csaladihaz;tegla;0;3;1964;;;K;;0;0;gaz_konvektor;80;0;0;620;nm;2 + 0;95000;1188.00
Szolnok;Szolnok;2020;uj;0;tarsashazi;tegla;0;5;2019;3;1;D;utcai;0;1;gaz_cirko;95.14;15;4.88;;;5 + 0;150000;1577.00
Kecskemét;Belváros;2020;hasznalt;0;tarsashazi;tegla;0;2;1976;4;1;D;utcai;0;1;gaz_cirko;63;0;3;;;3 + 0;80000;1270.00
Tatabánya;Dózsakert;2020;hasznalt;0;tarsashazi;panel;0;5;1980;4;földszint;NY;utcai;0;0;tavegyedi;49;0;0;;;2 + 0;120000;2449.00
Győr;Győrszabadhegy;2020;hasznalt;0;tarsashazi;panel;0;5;1985;10;6;NY;utcai;1;1;tavegyedi;53;0;0;;;2 + 0;100000;1887.00
Sopron;Jereván lakótelep;2020;hasznalt;0;tarsashazi;csusztatott_zsalus;0;5;1980;3;2;ÉK;utcai;0;0;tavegyedi;72;0;4.5;;;3 + 0;135000;1875.00
Miskolc;Népkert;2020;hasznalt;0;tarsashazi;tegla;0;4;2012;5;3;K;utcai;1;0;gaz_cirko;59;0;6;;;3 + 0;120000;2033.90
Székesfehérvár;Belváros;2020;hasznalt;0;tarsashazi;tegla;0;5;1976;4;4;DK;utcai;0;1;tav;49;0;0;;;2 + 0;130000;2653.06
Debrecen;Nagyerdő;2020;hasznalt;0;tarsashazi;tegla;0;3;1975;3;3;DNY;udvari;0;1;gaz_cirko;71;0;3.3;;;3 + 0;80000;1126.76
Győr;Nádorváros;2020;hasznalt;0;csaladihaz;tegla;0;3;1970;;;K;;0;1;gaz_cirko;80;0;0;400;nm;3 + 0;100000;1250.00
Szeged;Felsőváros;2020;hasznalt;0;tarsashazi;tegla;0;4;2000;4;4;DK;udvari;0;0;gaz_cirko;61;0;0;;;2 + 0;85000;1393.44
Nyíregyháza;Belváros;2020;hasznalt;0;tarsashazi;tegla;0;4;1980;4;2;D;utcai;1;0;gaz_cirko;42;0;4;;;2 + 0;80000;1904.76
Kecskemét;Széchenyiváros;2020;hasznalt;0;tarsashazi;tegla;0;4;1970;4;földszint;K;utcai;0;0;gaz_konvektor;55;0;0;;;2 + 0;75000;1363.64
Székesfehérvár;Palotaváros;2020;hasznalt;0;tarsashazi;panel;1;4;1975;4;3;DNY;utcai;0;1;tav;51;0;2;;;2 + 0;90000;1764.71
Debrecen;Sestakert;2020;hasznalt;0;tarsashazi;panel;1;4;1988;10;7;K;utcai;1;0;tavegyedi;30;0;3;;;1 + 0;70000;2333.33
Nyíregyháza;Jósaváros;2020;hasznalt;0;tarsashazi;panel;0;2;1980;4;földszint;K;utcai;0;0;tavegyedi;35;0;0;;;2 + 0;50000;1428.57
Debrecen;Belváros;2020;hasznalt;0;tarsashazi;tegla;0;5;1965;2;2;D;utcai;0;0;gaz_cirko;60;0;0;;;3 + 0;120000;2000.00
Miskolc;Belváros;2020;uj;0;tarsashazi;tegla;0;5;2018;2;2;D;utcai;1;0;hazkozponti;73.14;0;0;;;3 + 0;145000;1982.50
Debrecen;Vargakert;2020;hasznalt;0;tarsashazi;tegla;0;5;1978;4;1;É;udvari;0;0;hazkozponti;62;0;0;;;2 + 0;132000;2129.03
Debrecen;Nagyerdő alja;2020;hasznalt;0;tarsashazi;tegla;0;5;1980;4;2;NY;kertre_nezo;0;0;gaz_cirko;52;0;5;;;2 + 0;95000;1826.92
Kecskemét;Máriaváros;2020;hasznalt;0;tarsashazi;tegla;0;5;2018;3;2;K;udvari;1;1;elektromos_infra;36;;0;;;2 + 0;110000;3055.56
Szeged;Belváros;2020;hasznalt;0;tarsashazi;tegla;0;3;1986;4;3;DNY;udvari;0;1;gaz_konvektor;50;0;6;;;2 + 0;80000;1600.00
Kecskemét;Belváros;2020;hasznalt;0;tarsashazi;tegla;0;4;1998;4;2;DNY;udvari;0;0;gaz_cirko;72.5;0;0;;;3 + 0;130000;1793.10
Székesfehérvár;Ráchegy;2020;hasznalt;0;csaladihaz;tegla;0;4;1985;;;DNY;;0;0;gaz_cirko;128;17;5.85;1732;nm;4 + 0;756000;5906.25
Miskolc;Bulgárföld ;2020;hasznalt;0;tarsashazi;tegla;0;5;1970;4;2;D;utcai;0;0;gaz_konvektor;27;0;0;;;1 + 0;60000;2222.22
Pécs;Belváros;2020;hasznalt;0;tarsashazi;tegla;0;4;1935;3;földszint;NY;udvari;0;0;gaz_cirko;42;5;0;;;1 + 0;85000;2023.81
Debrecen;Belváros;2020;hasznalt;0;tarsashazi;panel;0;4;1975;10;5;D;utcai;1;0;tavegyedi;50;0;0;;;2 + 0;75000;1500.00
Szolnok;Belváros;2020;hasznalt;0;tarsashazi;csusztatott_zsalus;0;4;1990;4;4;NY;utcai;0;0;gaz_cirko;78;0;0;;;3 + 0;100000;1282.05
Győr;Győr-Belváros;2020;uj;0;tarsashazi;tegla;0;5;2020;5;4;DNY;kertre_nezo;0;0;gaz_cirko;65;0;0;;;3 + 0;185000;2846.15
Nyíregyháza;Érkert;2020;hasznalt;0;tarsashazi;panel;0;4;1980;4;4;NY;kertre_nezo;0;0;tavegyedi;39;0;2.5;;;2 + 0;70000;1794.87
Veszprém;Jutasi úti lakótelep;2020;hasznalt;0;tarsashazi;panel;1;5;1975;7;6;DNY;utcai;1;0;tav;62;0;;;;3 + 0;130000;2096.77
Sopron;Belváros;2020;hasznalt;0;tarsashazi;tegla;0;4;1900;2;1;DK;utcai;0;1;gaz_cirko;110;0;0;;;4 + 0;118110;1073.73
Szeged;Újszeged;2020;hasznalt;0;tarsashazi;tegla;0;4;1965;4;3;DNY;kertre_nezo;0;0;tav;43;0;0.5;;;2 + 0;60000;1395.35
Szekszárd;Szekszárd;2020;hasznalt;0;tarsashazi;tegla;0;4;2004;2;földszint;K;utcai;0;0;gaz_cirko;55;18;0;;;2 + 0;110000;2000.00
Kecskemét;Reptéri lakótelep;2020;hasznalt;0;tarsashazi;tegla;0;4;1970;3;földszint;K;kertre_nezo;0;1;gaz_konvektor;49;0;0;;;2 + 0;70000;1428.57
Kecskemét;Belváros;2020;hasznalt;0;tarsashazi;tegla;0;3;1990;4;2;DNY;utcai;0;0;tavegyedi;50;0;0;;;2 + 0;60000;1200.00
Debrecen;Belváros;2020;hasznalt;0;tarsashazi;tegla;0;5;2017;3;2;D;kertre_nezo;1;0;hazkozponti;52;0;0;;;2 + 0;140000;2692.31
Szolnok;Belváros;2020;hasznalt;0;tarsashazi;tegla;0;4;1975;4;földszint;É;kertre_nezo;0;1;gaz_konvektor;34;0;0;;;1 + 0;65000;1911.76
Debrecen;Tócóskert;2020;hasznalt;0;tarsashazi;panel;0;4;1985;4;3;K;utcai;0;1;tavegyedi;53;0;4;;;3 + 0;100000;1886.79
Debrecen;Csapókert;2020;hasznalt;0;csaladihaz;tegla;0;4;1950;;;DNY;;0;0;gaz_cirko;60;0;0;100;nm;2 + 0;95000;1583.33
Szolnok;Tallinnvárosrész;2020;hasznalt;0;tarsashazi;tegla;0;5;2010;3;földszint;DNY;kertre_nezo;1;0;hazkozponti;46.5;30;0;;;2 + 0;130000;2795.70
Győr;Győr-Belváros;2020;hasznalt;0;tarsashazi;tegla;0;4;1970;2;1;DK;utcai;0;1;gaz_cirko;52;0;0;;;1 + 0;80000;1538.46
Nyíregyháza;Belváros;2020;hasznalt;0;tarsashazi;tegla;0;5;1995;3;1;NY;utcai;0;0;tavegyedi;37;0;2;0;nm;1 + 0;80000;2162.16
Kecskemét;Máriaváros;2020;hasznalt;0;tarsashazi;tegla;0;5;2006;3;3;D;utcai;1;1;hazkozponti;44;0;0;;;2 + 0;85000;1931.82
Debrecen;Sestakert;2020;hasznalt;0;tarsashazi;panel;1;4;1985;10;7;K;utcai;1;0;tavegyedi;30;0;3;;;1 + 0;75000;2500.00
Tatabánya;Cseri lakótelep;2020;hasznalt;0;tarsashazi;tegla;0;4;1960;4;3;D;utcai;0;0;tav;56;0;4;;;2 + 0;90000;1607.14
Kecskemét;Széchenyiváros;2020;hasznalt;0;tarsashazi;tegla;0;4;1978;4;4;DNY;utcai;0;1;gaz_konvektor;27;0;0;;;1 + 0;55000;2037.04
Szolnok;Szolnok;2020;hasznalt;0;tarsashazi;tegla;0;4;2004;Földszintes;földszint;NY;udvari;0;0;gaz_cirko;65;0;0;;;3 + 0;140000;2153.85
