Település;Körzet;Év;Jogi_státusz;Nyaraló;Típus;Altípus;Panelprogram;Ingatlan_állapota;Építés_éve;Zárószint;Emelet;Tájolás;Kilátás;Lift;Lakáson_belüli_szintszám;Fűtés;Nettó_méret;Terasz_méret;Erkély_méret;Telek_méret;Telek_méret_mértékegysége;Szobaszám;Kiadási_ár;Négyzetméterár
Szekszárd;Szekszárd;2018;hasznalt;0;tarsashazi;tegla;0;4;1980;4;földszint;K;utcai;0;0;gaz_cirko;63.54;0;0;0;nm;3 + 0;120000;1888.57
Kecskemét;Széchenyiváros;2018;hasznalt;0;tarsashazi;panel;1;5;1983;5;5;D;utcai;0;1;tavegyedi;55;0;0;0;nm;2 + 0;80000;1454.55
Szekszárd;Szekszárd;2018;hasznalt;0;tarsashazi;panel;0;3;1970;1;1;;udvari;0;1;tavegyedi;52;0;2;0;nm;2 + 0;70000;1346.15
Békéscsaba;Lencsési lakótelep;2018;hasznalt;0;tarsashazi;panel;0;4;1978;4;2;K;utcai;0;0;gaz_cirko;48;0;0;0;nm;2 + 0;65000;1354.17
Debrecen;Libakert;2018;hasznalt;0;tarsashazi;tegla;0;4;1980;4;földszint;ÉK;utcai;0;0;gaz_konvektor;43;0;4;0;nm;1 + 0;82000;1906.98
Tatabánya;Újváros;2018;hasznalt;0;tarsashazi;csusztatott_zsalus;0;4;1960;4;3;É;kertre_nezo;0;1;tav;43;0;0;0;nm;1 + 1;75000;1744.19
Debrecen;Újkert;2018;hasznalt;0;tarsashazi;panel;0;5;1978;10;10;NY;udvari;1;0;tav;51;0;3;0;nm;1 + 1;99000;1941.18
Szeged;Móraváros;2018;hasznalt;0;tarsashazi;tegla;0;4;1960;1;1;ÉK;utcai;0;1;elektromos_cirko;35;0;0;0;nm;1 + 0;100000;2857.14
Szeged;Móraváros;2018;hasznalt;0;hazresz;tegla;0;5;2008;;;;;0;1;gaz_cirko;40;0;0;50;nm;1 + 0;50000;1250.00
Szeged;Fodor-kert;2018;hasznalt;0;tarsashazi;panel;1;4;1980;10;3;DK;utcai;1;1;tavegyedi;60;0;0;;;2 + 1;75000;1250.00
Kecskemét;Széchenyiváros;2018;hasznalt;0;tarsashazi;tegla;0;3;1979;5;földszint;K;kertre_nezo;0;0;gaz_konvektor;48.35;0;0;0;nm;1 + 0;59055;1221.41
Sopron;Lővérek;2018;uj;0;csaladihaz;tegla;0;5;2018;;;É;;0;1;gaz_cirko;100;25;0;600;nm;4 + 0;201575;2015.75
Miskolc;Belváros;2018;hasznalt;0;tarsashazi;tegla;0;5;2008;3;földszint;K;utcai;1;0;gaz_cirko;105;15;0;;;3 + 1;180000;1714.29
Szolnok;Tallinnvárosrész;2018;hasznalt;0;tarsashazi;tegla;0;3;1970;4;földszint;NY;udvari;0;0;gaz_konvektor;38;0;0;;;1 + 0;70000;1842.11
Miskolc;Avas II.;2018;hasznalt;0;tarsashazi;panel;0;5;1980;4;4;NY;kertre_nezo;0;0;tav;55;0;3;;;2 + 0;70000;1272.73
Nagykanizsa;Belváros;2018;hasznalt;0;tarsashazi;panel;0;4;1964;10;9;NY;utcai;1;0;hazkozponti_meresnelkul;51;0;0;;;2 + 1;55000;1078.43
